empresa,ano,tipo_material,nome_arquivo,extensao,caminho_completo,caminho_relativo,tamanho_bytes,data_modificacao
iguatemi,2024,apresentacao_resultados,CCall 1T24 PT (1).pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/apresentacao_resultados/1T24/CCall 1T24 PT (1).pdf,2024/apresentacao_resultados/1T24/CCall 1T24 PT (1).pdf,1206430,2026-03-25T17:08:49.840766
iguatemi,2024,apresentacao_resultados,CCall 2T24 PT - v2.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/apresentacao_resultados/2T24/CCall 2T24 PT - v2.pdf,2024/apresentacao_resultados/2T24/CCall 2T24 PT - v2.pdf,1283577,2026-03-25T17:09:07.378495
iguatemi,2024,apresentacao_resultados,CCall 3T24 PT v5.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/apresentacao_resultados/3T24/CCall 3T24 PT v5.pdf,2024/apresentacao_resultados/3T24/CCall 3T24 PT v5.pdf,2858361,2026-03-25T17:09:24.758301
iguatemi,2024,apresentacao_resultados,CCall 4T24 PT vFinal.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/apresentacao_resultados/4T24/CCall 4T24 PT vFinal.pdf,2024/apresentacao_resultados/4T24/CCall 4T24 PT vFinal.pdf,1901118,2026-03-25T17:09:35.127038
iguatemi,2024,audio_teleconferencia,Iguatemi_2T24_Original_Port.mp3,.mp3,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/audio_teleconferencia/2T24/Iguatemi_2T24_Original_Port.mp3,2024/audio_teleconferencia/2T24/Iguatemi_2T24_Original_Port.mp3,81097815,2026-03-25T17:05:29.024656
iguatemi,2024,audio_teleconferencia,Iguatemi_3t24_original_port.mp3,.mp3,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/audio_teleconferencia/3T24/Iguatemi_3t24_original_port.mp3,2024/audio_teleconferencia/3T24/Iguatemi_3t24_original_port.mp3,108347943,2026-03-25T17:10:04.739342
iguatemi,2024,audio_teleconferencia,Iguatemi_4Q24_VF (1).mp3,.mp3,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/audio_teleconferencia/4T24/Iguatemi_4Q24_VF (1).mp3,2024/audio_teleconferencia/4T24/Iguatemi_4Q24_VF (1).mp3,181346367,2026-03-25T17:06:36.552481
iguatemi,2024,itr_dfp,IGTI - DFP 2024.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/itr_dfp/4T24/IGTI - DFP 2024.pdf,2024/itr_dfp/4T24/IGTI - DFP 2024.pdf,8388608,2026-03-25T17:00:39.080660
iguatemi,2024,itr_dfp,IGTI - ITR 2T24.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/itr_dfp/2T24/IGTI - ITR 2T24.pdf,2024/itr_dfp/2T24/IGTI - ITR 2T24.pdf,6349440,2026-03-25T17:00:01.273210
iguatemi,2024,itr_dfp,IGTI - ITR 3T24.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/itr_dfp/3T24/IGTI - ITR 3T24.pdf,2024/itr_dfp/3T24/IGTI - ITR 3T24.pdf,6374720,2026-03-25T17:00:25.829563
